datetime,PM2.5,PM10,NO2,CO,station
2013-03-01 00:00:00,9.0,9.0,17.0,200.0,Wanshouxigong
2013-03-01 01:00:00,11.0,11.0,14.0,200.0,Wanshouxigong
2013-03-01 02:00:00,8.0,8.0,16.0,200.0,Wanshouxigong
2013-03-01 03:00:00,8.0,8.0,16.0,250.0,Wanshouxigong
2013-03-01 04:00:00,8.0,8.0,12.0,300.0,Wanshouxigong
2013-03-01 05:00:00,10.0,10.0,8.0,200.0,Wanshouxigong
2013-03-01 06:00:00,8.0,8.0,13.0,300.0,Wanshouxigong
2013-03-01 07:00:00,8.0,8.0,20.0,300.0,Wanshouxigong
2013-03-01 08:00:00,3.0,6.0,23.0,300.0,Wanshouxigong
2013-03-01 09:00:00,3.0,6.0,18.0,300.0,Wanshouxigong
2013-03-01 10:00:00,3.0,6.0,15.0,300.0,Wanshouxigong
2013-03-01 11:00:00,3.0,6.0,14.0,300.0,Wanshouxigong
2013-03-01 12:00:00,3.0,6.0,10.0,300.0,Wanshouxigong
2013-03-01 13:00:00,3.0,9.0,9.0,300.0,Wanshouxigong
2013-03-01 14:00:00,3.0,14.0,8.0,300.0,Wanshouxigong
2013-03-01 15:00:00,12.0,14.0,7.0,200.0,Wanshouxigong
2013-03-01 16:00:00,11.0,17.0,9.0,300.0,Wanshouxigong
2013-03-01 17:00:00,13.0,18.0,14.0,300.0,Wanshouxigong
2013-03-01 18:00:00,10.0,18.0,20.0,400.0,Wanshouxigong
2013-03-01 19:00:00,10.0,16.0,29.0,500.0,Wanshouxigong
2013-03-01 20:00:00,11.0,12.0,29.0,500.0,Wanshouxigong
2013-03-01 21:00:00,10.0,12.0,31.0,500.0,Wanshouxigong
2013-03-01 22:00:00,10.0,13.0,39.0,500.0,Wanshouxigong
2013-03-01 23:00:00,15.0,15.0,41.0,500.0,Wanshouxigong
2013-03-02 00:00:00,5.0,10.0,35.0,400.0,Wanshouxigong
2013-03-02 01:00:00,3.0,8.0,33.0,400.0,Wanshouxigong
2013-03-02 02:00:00,3.0,6.0,29.0,300.0,Wanshouxigong
2013-03-02 03:00:00,3.0,6.0,29.0,400.0,Wanshouxigong
2013-03-02 04:00:00,3.0,6.0,30.0,400.0,Wanshouxigong
2013-03-02 05:00:00,8.0,8.0,15.0,300.0,Wanshouxigong
2013-03-02 06:00:00,8.0,8.0,31.0,400.0,Wanshouxigong
2013-03-02 07:00:00,3.0,6.0,61.0,600.0,Wanshouxigong
2013-03-02 08:00:00,4.0,7.0,53.0,500.0,Wanshouxigong
2013-03-02 09:00:00,4.0,11.0,50.0,500.0,Wanshouxigong
2013-03-02 10:00:00,5.0,14.0,52.0,600.0,Wanshouxigong
2013-03-02 11:00:00,13.0,18.0,61.0,1000.0,Wanshouxigong
2013-03-02 12:00:00,17.0,25.0,47.0,700.0,Wanshouxigong
2013-03-02 13:00:00,24.0,28.0,35.0,600.0,Wanshouxigong
2013-03-02 14:00:00,18.0,27.0,36.0,800.0,Wanshouxigong
2013-03-02 15:00:00,34.0,37.0,43.0,1100.0,Wanshouxigong
2013-03-02 16:00:00,42.0,56.0,44.0,1100.0,Wanshouxigong
2013-03-02 17:00:00,56.0,68.0,46.0,1100.0,Wanshouxigong
2013-03-02 18:00:00,56.0,80.0,52.0,1100.0,Wanshouxigong
2013-03-02 19:00:00,64.0,88.0,67.0,1300.0,Wanshouxigong
2013-03-02 20:00:00,72.0,96.0,83.0,1600.0,Wanshouxigong
2013-03-02 21:00:00,88.0,118.0,91.0,1800.0,Wanshouxigong
2013-03-02 22:00:00,101.0,125.0,93.0,2000.0,Wanshouxigong
2013-03-02 23:00:00,108.0,127.0,92.0,2100.0,Wanshouxigong
2013-03-03 00:00:00,101.0,108.0,92.0,2100.0,Wanshouxigong
2013-03-03 01:00:00,77.0,93.0,94.0,2299.0,Wanshouxigong
2013-03-03 02:00:00,97.0,109.0,92.0,2600.0,Wanshouxigong
2013-03-03 03:00:00,107.0,120.0,89.0,2700.0,Wanshouxigong
2013-03-03 04:00:00,107.0,118.0,89.0,2799.0,Wanshouxigong
2013-03-03 05:00:00,104.0,109.0,86.0,2000.0,Wanshouxigong
2013-03-03 06:00:00,87.0,94.0,86.0,2000.0,Wanshouxigong
2013-03-03 07:00:00,86.0,95.0,86.0,2000.0,Wanshouxigong
2013-03-03 08:00:00,84.0,101.0,86.0,2399.0,Wanshouxigong
2013-03-03 09:00:00,88.0,119.0,91.0,2799.0,Wanshouxigong
2013-03-03 10:00:00,91.0,127.0,95.0,2600.0,Wanshouxigong
2013-03-03 11:00:00,93.0,129.0,102.0,2600.0,Wanshouxigong
2013-03-03 12:00:00,101.0,143.0,115.0,3000.0,Wanshouxigong
2013-03-03 13:00:00,110.0,152.0,92.0,2000.0,Wanshouxigong
2013-03-03 14:00:00,92.0,143.0,86.0,1800.0,Wanshouxigong
2013-03-03 15:00:00,114.0,169.0,58.0,1300.0,Wanshouxigong
2013-03-03 16:00:00,95.0,146.0,46.0,1000.0,Wanshouxigong
2013-03-03 17:00:00,77.0,130.0,57.0,1000.0,Wanshouxigong
2013-03-03 18:00:00,84.0,159.0,102.0,1600.0,Wanshouxigong
2013-03-03 19:00:00,123.0,225.0,116.0,1800.0,Wanshouxigong
2013-03-03 20:00:00,150.0,242.0,120.0,2200.0,Wanshouxigong
2013-03-03 21:00:00,147.0,191.0,80.0,1100.0,Wanshouxigong
2013-03-03 22:00:00,62.0,68.0,73.0,800.0,Wanshouxigong
2013-03-03 23:00:00,27.0,41.0,89.0,1600.0,Wanshouxigong
2013-03-04 00:00:00,33.0,46.0,85.0,2000.0,Wanshouxigong
2013-03-04 01:00:00,31.0,36.0,73.0,1200.0,Wanshouxigong
2013-03-04 02:00:00,23.0,31.0,25.0,500.0,Wanshouxigong
2013-03-04 03:00:00,10.0,27.0,17.0,400.0,Wanshouxigong
2013-03-04 04:00:00,8.0,16.0,32.0,500.0,Wanshouxigong
2013-03-04 05:00:00,9.0,22.0,23.0,400.0,Wanshouxigong
2013-03-04 06:00:00,4.0,24.0,32.0,600.0,Wanshouxigong
2013-03-04 07:00:00,8.0,22.0,53.0,900.0,Wanshouxigong
2013-03-04 08:00:00,9.0,28.0,61.0,1100.0,Wanshouxigong
2013-03-04 09:00:00,12.0,29.0,37.0,600.0,Wanshouxigong
2013-03-04 10:00:00,11.0,13.0,25.0,500.0,Wanshouxigong
2013-03-04 11:00:00,12.0,14.0,19.0,400.0,Wanshouxigong
2013-03-04 12:00:00,15.0,16.0,19.0,400.0,Wanshouxigong
2013-03-04 13:00:00,13.0,16.0,18.0,400.0,Wanshouxigong
2013-03-04 14:00:00,8.0,13.0,20.0,400.0,Wanshouxigong
2013-03-04 15:00:00,10.0,15.0,25.0,400.0,Wanshouxigong
2013-03-04 16:00:00,12.0,18.0,28.0,400.0,Wanshouxigong
2013-03-04 17:00:00,23.0,26.0,28.0,500.0,Wanshouxigong
2013-03-04 18:00:00,29.0,38.0,43.0,500.0,Wanshouxigong
2013-03-04 19:00:00,32.0,66.0,65.0,700.0,Wanshouxigong
2013-03-04 20:00:00,40.0,92.0,78.0,1100.0,Wanshouxigong
2013-03-04 21:00:00,56.0,104.0,88.0,1399.0,Wanshouxigong
2013-03-04 22:00:00,71.0,111.0,83.0,1399.0,Wanshouxigong
2013-03-04 23:00:00,76.0,105.0,71.0,1399.0,Wanshouxigong
2013-03-05 00:00:00,82.0,106.0,63.0,1300.0,Wanshouxigong
2013-03-05 01:00:00,93.0,124.0,58.0,1300.0,Wanshouxigong
2013-03-05 02:00:00,107.0,138.0,56.0,1399.0,Wanshouxigong
2013-03-05 03:00:00,114.0,130.0,59.0,1599.5,Wanshouxigong
2013-03-05 04:00:00,125.0,137.0,66.5,1800.0,Wanshouxigong
2013-03-05 05:00:00,138.0,149.0,74.0,2200.0,Wanshouxigong
2013-03-05 06:00:00,132.0,145.0,79.0,2399.0,Wanshouxigong
2013-03-05 07:00:00,129.0,137.0,82.0,2799.0,Wanshouxigong
2013-03-05 08:00:00,118.0,136.0,90.0,3399.0,Wanshouxigong
2013-03-05 09:00:00,117.0,150.0,97.0,3100.0,Wanshouxigong
2013-03-05 10:00:00,126.0,172.0,108.0,3000.0,Wanshouxigong
2013-03-05 11:00:00,133.0,180.0,108.0,2600.0,Wanshouxigong
2013-03-05 12:00:00,138.0,169.0,101.0,2000.0,Wanshouxigong
2013-03-05 13:00:00,134.0,157.0,116.0,2100.0,Wanshouxigong
2013-03-05 14:00:00,142.0,161.0,140.0,2399.0,Wanshouxigong
2013-03-05 15:00:00,168.0,187.0,132.0,2200.0,Wanshouxigong
2013-03-05 16:00:00,193.0,217.0,95.0,1700.0,Wanshouxigong
2013-03-05 17:00:00,184.0,208.0,75.0,1500.0,Wanshouxigong
2013-03-05 18:00:00,180.0,194.0,82.0,1500.0,Wanshouxigong
2013-03-05 19:00:00,185.0,206.0,146.0,2200.0,Wanshouxigong
2013-03-05 20:00:00,198.0,230.0,145.0,2299.0,Wanshouxigong
2013-03-05 21:00:00,202.0,234.0,145.0,3100.0,Wanshouxigong
2013-03-05 22:00:00,216.0,233.0,142.0,2700.0,Wanshouxigong
2013-03-05 23:00:00,214.0,220.0,154.0,3399.0,Wanshouxigong
2013-03-06 00:00:00,220.0,232.0,148.0,3100.0,Wanshouxigong
2013-03-06 01:00:00,229.0,232.0,136.0,2799.0,Wanshouxigong
2013-03-06 02:00:00,220.0,226.0,138.0,3000.0,Wanshouxigong
2013-03-06 03:00:00,159.0,208.0,129.0,2600.0,Wanshouxigong
2013-03-06 04:00:00,149.0,187.0,131.0,2799.0,Wanshouxigong
2013-03-06 05:00:00,186.0,187.0,131.0,2799.0,Wanshouxigong
2013-03-06 06:00:00,187.0,188.0,137.0,3000.0,Wanshouxigong
2013-03-06 07:00:00,186.0,200.0,128.0,2700.0,Wanshouxigong
2013-03-06 08:00:00,193.0,207.0,117.0,2799.0,Wanshouxigong
2013-03-06 09:00:00,194.0,215.0,100.0,2299.0,Wanshouxigong
2013-03-06 10:00:00,181.0,202.0,101.0,2600.0,Wanshouxigong
2013-03-06 11:00:00,177.0,199.0,106.0,3000.0,Wanshouxigong
2013-03-06 12:00:00,187.0,207.0,104.0,2600.0,Wanshouxigong
2013-03-06 13:00:00,192.0,218.0,112.0,2700.0,Wanshouxigong
2013-03-06 14:00:00,209.0,231.0,116.0,2799.0,Wanshouxigong
2013-03-06 15:00:00,226.0,244.0,122.0,3200.0,Wanshouxigong
2013-03-06 16:00:00,224.0,253.0,130.0,3299.0,Wanshouxigong
2013-03-06 17:00:00,225.0,260.0,129.0,3299.0,Wanshouxigong
2013-03-06 18:00:00,227.0,270.0,131.0,3200.0,Wanshouxigong
2013-03-06 19:00:00,228.0,278.0,134.0,3500.0,Wanshouxigong
2013-03-06 20:00:00,236.0,282.0,135.0,3700.0,Wanshouxigong
2013-03-06 21:00:00,247.0,293.0,134.0,4400.0,Wanshouxigong
2013-03-06 22:00:00,253.0,285.0,131.0,4700.0,Wanshouxigong
2013-03-06 23:00:00,254.0,280.0,130.0,4799.0,Wanshouxigong
2013-03-07 00:00:00,258.0,292.0,129.0,5299.0,Wanshouxigong
2013-03-07 01:00:00,270.0,316.0,124.0,5200.0,Wanshouxigong
2013-03-07 02:00:00,280.0,317.0,118.0,4500.0,Wanshouxigong
2013-03-07 03:00:00,264.0,285.0,110.0,4099.0,Wanshouxigong
2013-03-07 04:00:00,249.0,263.0,107.0,4799.0,Wanshouxigong
2013-03-07 05:00:00,243.0,257.0,105.0,4799.0,Wanshouxigong
2013-03-07 06:00:00,243.0,256.0,104.0,5700.0,Wanshouxigong
2013-03-07 07:00:00,240.0,259.0,106.0,5799.0,Wanshouxigong
2013-03-07 08:00:00,249.0,275.0,121.0,6700.0,Wanshouxigong
2013-03-07 09:00:00,262.0,306.0,158.0,6000.0,Wanshouxigong
2013-03-07 10:00:00,292.0,349.0,206.0,7599.0,Wanshouxigong
2013-03-07 11:00:00,327.0,407.0,241.0,8599.0,Wanshouxigong
2013-03-07 12:00:00,389.0,454.0,221.0,6099.0,Wanshouxigong
2013-03-07 13:00:00,366.0,400.0,167.0,3799.0,Wanshouxigong
