datetime,PM2.5,PM10,NO2,CO,station
2013-03-01 00:00:00,8.0,8.0,28.0,400.0,Wanliu
2013-03-01 01:00:00,9.0,9.0,28.0,400.0,Wanliu
2013-03-01 02:00:00,3.0,6.0,19.0,400.0,Wanliu
2013-03-01 03:00:00,11.0,30.0,14.0,350.0,Wanliu
2013-03-01 04:00:00,3.0,13.0,15.5,300.0,Wanliu
2013-03-01 05:00:00,3.0,6.0,17.0,300.0,Wanliu
2013-03-01 06:00:00,3.0,3.0,21.0,300.0,Wanliu
2013-03-01 07:00:00,3.0,6.0,26.0,300.0,Wanliu
2013-03-01 08:00:00,7.0,10.0,39.0,400.0,Wanliu
2013-03-01 09:00:00,3.0,9.0,31.0,400.0,Wanliu
2013-03-01 10:00:00,3.0,8.0,30.0,400.0,Wanliu
2013-03-01 11:00:00,3.0,6.0,26.0,300.0,Wanliu
2013-03-01 12:00:00,6.0,9.0,22.0,300.0,Wanliu
2013-03-01 13:00:00,10.0,18.0,20.0,300.0,Wanliu
2013-03-01 14:00:00,10.0,15.0,22.0,300.0,Wanliu
2013-03-01 15:00:00,7.0,15.0,22.0,300.0,Wanliu
2013-03-01 16:00:00,12.0,22.0,25.0,300.0,Wanliu
2013-03-01 17:00:00,13.0,23.0,26.0,300.0,Wanliu
2013-03-01 18:00:00,11.0,25.0,32.0,400.0,Wanliu
2013-03-01 19:00:00,11.0,17.0,53.0,600.0,Wanliu
2013-03-01 20:00:00,9.0,19.0,55.0,500.0,Wanliu
2013-03-01 21:00:00,14.0,17.0,57.0,600.0,Wanliu
2013-03-01 22:00:00,15.0,20.0,71.0,700.0,Wanliu
2013-03-01 23:00:00,15.0,29.0,62.0,600.0,Wanliu
2013-03-02 00:00:00,15.0,2.0,61.0,600.0,Wanliu
2013-03-02 01:00:00,4.0,12.0,52.0,500.0,Wanliu
2013-03-02 02:00:00,12.0,12.0,52.0,400.0,Wanliu
2013-03-02 03:00:00,3.0,9.0,53.0,400.0,Wanliu
2013-03-02 04:00:00,3.0,6.0,53.0,400.0,Wanliu
2013-03-02 05:00:00,3.0,6.0,66.0,500.0,Wanliu
2013-03-02 06:00:00,4.0,12.0,71.0,600.0,Wanliu
2013-03-02 07:00:00,3.0,14.0,72.0,600.0,Wanliu
2013-03-02 08:00:00,3.0,6.0,68.0,600.0,Wanliu
2013-03-02 09:00:00,3.0,12.0,66.0,600.0,Wanliu
2013-03-02 10:00:00,3.0,10.0,72.0,600.0,Wanliu
2013-03-02 11:00:00,6.0,13.0,74.0,700.0,Wanliu
2013-03-02 12:00:00,16.0,18.0,73.0,800.0,Wanliu
2013-03-02 13:00:00,19.0,27.0,68.0,700.0,Wanliu
